iter	Accuracy	MultiClass
0	0.2351476648	4.349515718
1	0.2493990385	4.056600434
2	0.2782451923	3.852768475
3	0.2809924451	3.694334117
4	0.2924965659	3.584621507
5	0.2987637363	3.482509022
6	0.2996222527	3.418800362
7	0.3024553571	3.336633327
8	0.3315590659	3.287580814
9	0.3488152473	3.191253228
10	0.3692479396	3.103065762
11	0.3784340659	3.04694825
12	0.3887362637	2.985998262
13	0.3943166209	2.937988123
14	0.4020432692	2.876929007
15	0.404532967	2.835548572
16	0.4138049451	2.763536211
17	0.4175824176	2.726987601
18	0.4216174451	2.698138959
19	0.4288289835	2.64340702
20	0.4300309066	2.614285905
21	0.4344093407	2.582263625
22	0.4375858516	2.551353083
23	0.4431662088	2.51984289
24	0.4477163462	2.479950731
25	0.450206044	2.449798743
26	0.4568166209	2.416857382
27	0.4585336538	2.397236973
28	0.4629979396	2.363928632
29	0.4678914835	2.335656881
30	0.4711538462	2.309374251
31	0.474845467	2.287344975
32	0.4791380495	2.26112006
33	0.4801682692	2.24930921
34	0.482915522	2.232696122
35	0.4871222527	2.203454808
36	0.4884100275	2.182125835
37	0.4919299451	2.158242527
38	0.4932177198	2.146332049
39	0.4956215659	2.132425567
40	0.4987122253	2.114877994
41	0.5009443681	2.099861916
42	0.5026614011	2.085707175
43	0.5038633242	2.074846073
44	0.5072973901	2.061370801
45	0.5089285714	2.050632902
46	0.5098729396	2.038538136
47	0.5121050824	2.026146966
48	0.5157967033	2.007055903
49	0.5180288462	1.996377015
50	0.5215487637	1.984539346
51	0.5240384615	1.969831973
52	0.5252403846	1.958822924
53	0.5269574176	1.949412769
54	0.5286744505	1.938693018
55	0.529790522	1.929647696
56	0.5309924451	1.922027168
57	0.532709478	1.912097946
58	0.5337396978	1.905076725
59	0.5350274725	1.895089467
60	0.5363152473	1.88605064
61	0.5382898352	1.876709917
62	0.5391483516	1.870849562
63	0.5411229396	1.861669853
64	0.542239011	1.856682418
65	0.5449862637	1.841417074
66	0.5482486264	1.824810561
67	0.551510989	1.813264242
68	0.5533997253	1.802022886
69	0.5552884615	1.79271817
70	0.556146978	1.7830403
71	0.559581044	1.764402087
72	0.5623282967	1.751969789
73	0.5643028846	1.742064081
74	0.5661057692	1.730367129
75	0.5673076923	1.724096944
76	0.5694539835	1.715777302
77	0.5703983516	1.709622765
78	0.5718578297	1.701765199
79	0.5734031593	1.693452585
80	0.5758928571	1.684831473
81	0.5784684066	1.672357898
82	0.5783825549	1.663117181
83	0.5806146978	1.654955469
84	0.5829326923	1.64465762
85	0.5840487637	1.63761798
86	0.5863667582	1.631131116
87	0.5875686813	1.624971324
88	0.5892857143	1.614807281
89	0.590573489	1.606745551
90	0.5933207418	1.596909718
91	0.5944368132	1.587239931
92	0.595467033	1.578873219
93	0.5968406593	1.570228964
94	0.5991586538	1.558441785
95	0.6008756868	1.547697275
96	0.6034512363	1.540087426
97	0.6065418956	1.533357433
98	0.6090315934	1.52673612
99	0.6127232143	1.51425006
100	0.6146978022	1.507737343
101	0.6193337912	1.500828045
102	0.6215659341	1.4947225
103	0.6230254121	1.489789978
104	0.6249141484	1.483592195
105	0.6276614011	1.47409561
106	0.6302369505	1.465195237
107	0.6326407967	1.457067813
108	0.635731456	1.446784109
109	0.6383070055	1.441048669
110	0.6401957418	1.431832464
111	0.6412259615	1.426407307
112	0.6440590659	1.418995883
113	0.645260989	1.415775897
114	0.6477506868	1.408869161
115	0.6482657967	1.405957782
116	0.6484375	1.402858114
117	0.6498111264	1.395289423
118	0.6510989011	1.389586792
119	0.6535885989	1.381067759
120	0.6559924451	1.371867858
121	0.6565934066	1.3674054
122	0.6580528846	1.363294922
123	0.6599416209	1.356648454
124	0.6609718407	1.35141208
125	0.6614010989	1.349136031
126	0.6636332418	1.345409412
127	0.6656936813	1.338098609
128	0.6663804945	1.335926785
129	0.6677541209	1.332011898
130	0.6686126374	1.328179788
131	0.668956044	1.325735006
132	0.6711023352	1.319778937
133	0.6740212912	1.313117802
134	0.6759958791	1.304959865
135	0.6772836538	1.30025122
136	0.6796875	1.293834142
137	0.681404533	1.289225285
138	0.6832932692	1.282512479
139	0.684581044	1.273306106
140	0.6856971154	1.269383285
141	0.6868131868	1.263914489
142	0.689217033	1.258493045
143	0.6912774725	1.252429221
144	0.6928228022	1.246683927
145	0.6965144231	1.238148758
146	0.6980597527	1.23280177
147	0.6986607143	1.229633775
148	0.6989182692	1.227002618
149	0.7004635989	1.222141784
