iter	Passed	Remaining
0	95585	14242165
1	206768	15300839
2	316922	15529206
3	435141	15882669
4	546344	15843995
5	664636	15951270
6	780963	15953977
7	887965	15761387
8	1006078	15761898
9	1124112	15737573
10	1243446	15712638
11	1361047	15652045
12	1482917	15627673
13	1612249	15661849
14	1745214	15706934
15	1884028	15778736
16	2025938	15849990
17	2170908	15919997
18	2310414	15929703
19	2449563	15922161
20	2588621	15901530
21	2724818	15853489
22	2863683	15812511
23	3005564	15779212
24	3159561	15797807
25	3308268	15777895
26	3455571	15742049
27	3583682	15614618
28	3683525	15369194
29	3780364	15121459
30	3873131	14867826
31	3966505	14626489
32	4057770	14386640
33	4148792	14154705
34	4239645	13930265
35	4329823	13711106
36	4423157	13508561
37	4513909	13304154
38	4604629	13105483
39	4695046	12911378
40	4785614	12722730
41	4876174	12538735
42	4966639	12358847
43	5056897	12182526
44	5146616	12008771
45	5236316	11838627
46	5328827	11678067
47	5418400	11514102
48	5508532	11354321
49	5600253	11200506
50	5689610	11044538
51	5779974	10893029
52	5870164	10743509
53	5960356	10596190
54	6051680	10452903
55	6142043	10309859
56	6233355	10170211
57	6323880	10030982
58	6414577	9893670
59	6506788	9760183
60	6597568	9625960
61	6687722	9492250
62	6779294	9361882
63	6870409	9232112
64	6961176	9103077
65	7054517	8978477
66	7146085	8852613
67	7238036	8728220
68	7328774	8603344
69	7421068	8481221
70	7512211	8358658
71	7604352	8238049
72	7697547	8119331
73	7791508	8002089
74	7884386	7884386
75	7977010	7767089
76	8071959	7652636
77	8162336	7534464
78	8253117	7417358
79	8344613	7301537
80	8437308	7187336
81	8529951	7073618
82	8622012	6959938
83	8713499	6846320
84	8804568	6732905
85	8896090	6620346
86	8987431	6508140
87	9080382	6397542
88	9172372	6286682
89	9264090	6176060
90	9356014	6065987
91	9448449	5956631
92	9540758	5847561
93	9632247	5738360
94	9724246	5629826
95	9817455	5522318
96	9909389	5414408
97	10001966	5307165
98	10093490	5199676
99	10186301	5093150
100	10277075	4985907
101	10368679	4879378
102	10460310	4773151
103	10552184	4667312
104	10643943	4561690
105	10735962	4456437
106	10827637	4351293
107	10918821	4246208
108	11012416	4142284
109	11104687	4038068
110	11196573	3933931
111	11288604	3830062
112	11380929	3726499
113	11472402	3622864
114	11565664	3519984
115	11657041	3416719
116	11748024	3313545
117	11839240	3210641
118	11931267	3108145
119	12023156	3005789
120	12114185	2903399
121	12206721	2801542
122	12297450	2699440
123	12388285	2597543
124	12480133	2496026
125	12571055	2394486
126	12661954	2293109
127	12754574	2192192
128	12845587	2091142
129	12935693	1990106
130	13025417	1889182
131	13117675	1788773
132	13209126	1688384
133	13300494	1588118
134	13392159	1488017
135	13482813	1387936
136	13573741	1288019
137	13666225	1188367
138	13757340	1088710
139	13848616	989186
140	13939632	889763
141	14031186	790489
142	14122226	691297
143	14213871	592244
144	14306234	493318
145	14397715	394457
146	14488858	295690
147	14580907	197039
148	14672961	98476
149	14763697	0
