,precision,recall,f1-score,support
014141 - MH ACCIDENTE CEREBROVASCULAR CON INFARTO,0.5714285714285714,0.5714285714285714,0.5714285714285714,7.0
014142 - MH ACCIDENTE CEREBROVASCULAR CON INFARTO W/CC,0.5,0.5555555555555556,0.5263157894736842,9.0
014143 - MH ACCIDENTE CEREBROVASCULAR CON INFARTO W/MCC,0.8,0.5714285714285714,0.6666666666666666,7.0
014221 - MH CONVULSIONES,0.6666666666666666,0.4,0.5,5.0
014241 - MH TRAUMATISMO CEFÁLICO,0.8571428571428571,1.0,0.9230769230769231,12.0
041013 - PH ECMO VENTILACIÓN MECÁNICA PROLONGADA CON TRAQUEOSTOMÍA W/MCC,1.0,0.5714285714285714,0.7272727272727273,7.0
041023 - PH VENTILACIÓN MECÁNICA PROLONGADA SIN TRAQUEOSTOMÍA W/MCC,0.782608695652174,0.72,0.75,25.0
041203 - PH PROCEDIMIENTOS NO COMPLEJOS SOBRE APARATO RESPIRATORIO W/MCC,0.7272727272727273,0.6153846153846154,0.6666666666666666,13.0
044113 - MH FALLA RESPIRATORIA W/MCC,1.0,0.4,0.5714285714285714,5.0
044123 - MH EMBOLISMO PULMONAR W/MCC,0.6666666666666666,0.8,0.7272727272727273,5.0
044152 - MH INFECCIONES E INFLAMACIONES RESPIRATORIAS W/CC,0.6666666666666666,0.4,0.5,5.0
044153 - MH INFECCIONES E INFLAMACIONES RESPIRATORIAS W/MCC,0.8,1.0,0.8888888888888888,28.0
044162 - MH NEUMONÍA SIMPLE Y TOS FERINA W/CC,0.6666666666666666,0.4,0.5,5.0
044163 - MH NEUMONÍA SIMPLE Y TOS FERINA W/MCC,0.6451612903225806,0.8695652173913043,0.7407407407407407,23.0
044173 - MH ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA W/MCC,0.7777777777777778,0.7,0.7368421052631579,10.0
044181 - MH BRONQUIOLITIS Y ASMA,0.5,0.25,0.3333333333333333,4.0
044183 - MH BRONQUIOLITIS Y ASMA W/MCC,0.8571428571428571,0.8571428571428571,0.8571428571428571,14.0
"044211 - MH OTROS SIGNOS, SÍNTOMAS Y DIAGNÓSTICOS DE APARATO RESPIRATORIO",0.42857142857142855,0.5,0.46153846153846156,6.0
"044212 - MH OTROS SIGNOS, SÍNTOMAS Y DIAGNÓSTICOS DE APARATO RESPIRATORIO W/CC",0.0,0.0,0.0,4.0
"044213 - MH OTROS SIGNOS, SÍNTOMAS Y DIAGNÓSTICOS DE APARATO RESPIRATORIO W/MCC",0.8888888888888888,0.5714285714285714,0.6956521739130435,14.0
054101 - MH INFARTO AGUDO DE MIOCARDIO,0.2857142857142857,0.4,0.3333333333333333,5.0
054102 - MH INFARTO AGUDO DE MIOCARDIO W/CC,0.25,0.2,0.2222222222222222,5.0
054103 - MH INFARTO AGUDO DE MIOCARDIO W/MCC,0.125,0.16666666666666666,0.14285714285714285,6.0
054122 - MH INSUFICIENCIA CARDIACA W/CC,0.0,0.0,0.0,7.0
054123 - MH INSUFICIENCIA CARDIACA W/MCC,0.7037037037037037,0.95,0.8085106382978723,20.0
054151 - MH OTRAS ENFERMEDADES VASCULARES Y PERIFÉRICAS,0.16666666666666666,0.2,0.18181818181818182,5.0
054152 - MH OTRAS ENFERMEDADES VASCULARES Y PERIFÉRICAS W/CC,0.0,0.0,0.0,4.0
054192 - MH TRASTORNOS DE LA CONDUCCIÓN Y ARRITMIAS CARDIACAS W/CC,1.0,0.25,0.4,4.0
061121 - PH PROCEDIMIENTOS SOBRE HERNIA EXCEPTO INGUINAL Y FEMORAL,0.2857142857142857,0.4,0.3333333333333333,5.0
061131 - PH PROCEDIMIENTOS SOBRE APÉNDICE,0.71875,0.92,0.8070175438596491,25.0
061132 - PH PROCEDIMIENTOS SOBRE APÉNDICE W/CC,0.0,0.0,0.0,5.0
061141 - PH PROCEDIMIENTOS SOBRE HERNIA INGUINAL Y FEMORAL,1.0,0.75,0.8571428571428571,4.0
061201 - PH PROCEDIMIENTOS COMPLEJOS DEL TRACTO DIGESTIVO,0.5625,0.6,0.5806451612903226,15.0
061202 - PH PROCEDIMIENTOS COMPLEJOS DEL TRACTO DIGESTIVO W/CC,0.2,0.1,0.13333333333333333,10.0
061203 - PH PROCEDIMIENTOS COMPLEJOS DEL TRACTO DIGESTIVO W/MCC,0.3333333333333333,0.125,0.18181818181818182,8.0
061501 - PH PROCEDIMIENTOS SOBRE ANO,1.0,0.75,0.8571428571428571,4.0
"064131 - MH DIVERTICULITIS, DIVERTICULOSIS Y ENFERMEDAD INFLAMATORIA INTESTINAL",0.6666666666666666,0.4,0.5,5.0
064171 - MH DOLOR ABDOMINAL Y OTRAS GASTROENTERITIS,0.8,0.5,0.6153846153846154,8.0
064172 - MH DOLOR ABDOMINAL Y OTRAS GASTROENTERITIS W/CC,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
064181 - MH OTROS DIAGNÓSTICOS SOBRE APARATO DIGESTIVO,0.2857142857142857,0.18181818181818182,0.2222222222222222,11.0
064182 - MH OTROS DIAGNÓSTICOS SOBRE APARATO DIGESTIVO W/CC,0.2,0.14285714285714285,0.16666666666666666,7.0
064183 - MH OTROS DIAGNÓSTICOS SOBRE APARATO DIGESTIVO W/MCC,0.2727272727272727,0.3333333333333333,0.3,9.0
071141 - PH COLECISTECTOMÍA LAPAROSCÓPICA,0.6595744680851063,0.96875,0.7848101265822784,32.0
071142 - PH COLECISTECTOMÍA LAPAROSCÓPICA W/CC,0.5,0.07692307692307693,0.13333333333333333,13.0
071143 - PH COLECISTECTOMÍA LAPAROSCÓPICA W/MCC,0.0,0.0,0.0,6.0
074103 - MH HEPATITIS ALCOHÓLICA Y CIRROSIS W/MCC,0.5,0.2857142857142857,0.36363636363636365,7.0
074121 - MH ENFERMEDADES DE PÁNCREAS EXCEPTO NEOPLASIAS,0.3333333333333333,0.25,0.2857142857142857,4.0
"074133 - MH ENFERMEDADES HEPÁTICAS EXCEPTO NEOPLASIAS, CIRROSIS O HEPATITIS ALCOHÓLICA W/MCC",0.5,0.3333333333333333,0.4,6.0
074141 - MH OTRAS ENFERMEDADES DEL SISTEMA BILIAR,0.6666666666666666,0.4,0.5,5.0
074142 - MH OTRAS ENFERMEDADES DEL SISTEMA BILIAR W/CC,0.0,0.0,0.0,4.0
081301 - PH PROCEDIMIENTOS SOBRE PIE,0.5,0.6,0.5454545454545454,5.0
"091401 - PH OTRAS PROCEDIMIENTOS SOBRE PIEL, TEJIDO SUBCUTÁNEO Y MAMA",0.6470588235294118,1.0,0.7857142857142857,11.0
"091402 - PH OTRAS PROCEDIMIENTOS SOBRE PIEL, TEJIDO SUBCUTÁNEO Y MAMA W/CC",0.0,0.0,0.0,4.0
091501 - PH PROCEDIMIENTOS SOBRE MAMA,0.5,0.14285714285714285,0.2222222222222222,7.0
094121 - MH CELULITIS,0.0,0.0,0.0,4.0
"094131 - MH TRAUMATISMO DE PIEL, TEJIDO SUBCUTÁNEO Y MAMA",1.0,0.6923076923076923,0.8181818181818182,13.0
104101 - MH DIABETES Y ENFERMEDADES METABÓLICAS Y NUTRICIONALES,1.0,0.8,0.8888888888888888,5.0
104102 - MH DIABETES Y ENFERMEDADES METABÓLICAS Y NUTRICIONALES W/CC,0.0,0.0,0.0,4.0
104103 - MH DIABETES Y ENFERMEDADES METABÓLICAS Y NUTRICIONALES W/MCC,0.25,0.2,0.2222222222222222,5.0
111201 - PH OPERACIONES DEL TRACTO URINARIO SUPERIOR,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0
114102 - MH NEOPLASIA DE RIÑÓN Y TRACTO URINARIO E INSUFICIENCIA RENAL W/CC,0.6666666666666666,0.4,0.5,5.0
114103 - MH NEOPLASIA DE RIÑÓN Y TRACTO URINARIO E INSUFICIENCIA RENAL W/MCC,0.0,0.0,0.0,4.0
114121 - MH INFECCIONES DE RIÑÓN Y TRACTO URINARIO,0.5,0.5,0.5,14.0
114122 - MH INFECCIONES DE RIÑÓN Y TRACTO URINARIO W/CC,0.2222222222222222,0.18181818181818182,0.2,11.0
114123 - MH INFECCIONES DE RIÑÓN Y TRACTO URINARIO W/MCC,0.38095238095238093,0.6666666666666666,0.48484848484848486,12.0
114131 - MH LITIASIS RENAL,0.7142857142857143,1.0,0.8333333333333334,5.0
"131111 - PH PROCEDIMIENTOS SOBRE ÚTERO Y CUELLO, DILATACIÓN Y LEGRADO",0.7777777777777778,0.9545454545454546,0.8571428571428571,22.0
"131112 - PH PROCEDIMIENTOS SOBRE ÚTERO Y CUELLO, DILATACIÓN Y LEGRADO W/CC",0.0,0.0,0.0,4.0
131201 - PH PROCEDIMIENTOS SOBRE ÚTERO Y ANEXOS,0.625,0.9090909090909091,0.7407407407407407,22.0
131202 - PH PROCEDIMIENTOS SOBRE ÚTERO Y ANEXOS W/CC,0.0,0.0,0.0,7.0
131301 - PH HISTERECTOMIA VAGINAL Y OTROS PROCEDIMIENTOS POR VIA VAGINAL,1.0,0.5,0.6666666666666666,14.0
134141 - MH AMENAZA DE ABORTO,1.0,0.25,0.4,4.0
134161 - MH TRASTORNOS DEL ANTEPARTO,0.6326530612244898,0.9393939393939394,0.7560975609756098,33.0
134162 - MH TRASTORNOS DEL ANTEPARTO W/CC,0.0,0.0,0.0,9.0
134163 - MH TRASTORNOS DEL ANTEPARTO W/MCC,0.0,0.0,0.0,5.0
146101 - PH CESÁREA,0.7596153846153846,0.9753086419753086,0.8540540540540541,81.0
146102 - PH CESÁREA W/CC,0.7777777777777778,0.28,0.4117647058823529,25.0
146103 - PH CESÁREA W/MCC,0.8888888888888888,0.5,0.64,16.0
"146121 - PH PARTO VAGINAL CON PROCED., EXCEPTO ESTERILIZACIÓN Y/O DILATACIÓN Y LEGRADO",0.8243243243243243,0.953125,0.8840579710144928,64.0
"146122 - PH PARTO VAGINAL CON PROCED., EXCEPTO ESTERILIZACIÓN Y/O DILATACIÓN Y LEGRADO W/CC",0.9,0.5,0.6428571428571429,18.0
"146123 - PH PARTO VAGINAL CON PROCED., EXCEPTO ESTERILIZACIÓN Y/O DILATACIÓN Y LEGRADO W/MCC",1.0,0.4,0.5714285714285714,10.0
146131 - PH PARTO VAGINAL,0.7605633802816901,1.0,0.864,54.0
146132 - PH PARTO VAGINAL W/CC,0.8333333333333334,0.35714285714285715,0.5,14.0
146133 - PH PARTO VAGINAL W/MCC,1.0,0.2857142857142857,0.4444444444444444,7.0
"158131 - MH NEONATO, PESO AL NACER 2000-2499 GR SIN PROCEDIMIENTO MAYOR",0.0,0.0,0.0,6.0
"158132 - MH NEONATO, PESO AL NACER 2000-2499 GR SIN PROCEDIMIENTO MAYOR W/CC",0.0,0.0,0.0,5.0
"158171 - MH NEONATO, PESO AL NACER >2499 GR SIN PROCEDIMIENTO MAYOR",0.7857142857142857,0.8461538461538461,0.8148148148148148,39.0
184103 - MH SEPTICEMIA W/MCC,1.0,1.0,1.0,4.0
194101 - MH ESQUIZOFRENIA,0.42857142857142855,0.42857142857142855,0.42857142857142855,7.0
194131 - MH TRASTORNO BIPOLAR,0.5,0.2,0.2857142857142857,5.0
