GRD,Count
OTHER,2098
146101 - PH CESÁREA,813
"146121 - PH PARTO VAGINAL CON PROCED., EXCEPTO ESTERILIZACIÓN Y/O DILATACIÓN Y LEGRADO",639
146131 - PH PARTO VAGINAL,538
"158171 - MH NEONATO, PESO AL NACER >2499 GR SIN PROCEDIMIENTO MAYOR",389
134161 - MH TRASTORNOS DEL ANTEPARTO,325
071141 - PH COLECISTECTOMÍA LAPAROSCÓPICA,317
044153 - MH INFECCIONES E INFLAMACIONES RESPIRATORIAS W/MCC,287
061131 - PH PROCEDIMIENTOS SOBRE APÉNDICE,252
041023 - PH VENTILACIÓN MECÁNICA PROLONGADA SIN TRAQUEOSTOMÍA W/MCC,248
146102 - PH CESÁREA W/CC,244
044163 - MH NEUMONÍA SIMPLE Y TOS FERINA W/MCC,229
"131111 - PH PROCEDIMIENTOS SOBRE ÚTERO Y CUELLO, DILATACIÓN Y LEGRADO",226
131201 - PH PROCEDIMIENTOS SOBRE ÚTERO Y ANEXOS,222
054123 - MH INSUFICIENCIA CARDIACA W/MCC,204
"146122 - PH PARTO VAGINAL CON PROCED., EXCEPTO ESTERILIZACIÓN Y/O DILATACIÓN Y LEGRADO W/CC",187
146103 - PH CESÁREA W/MCC,163
061201 - PH PROCEDIMIENTOS COMPLEJOS DEL TRACTO DIGESTIVO,154
044183 - MH BRONQUIOLITIS Y ASMA W/MCC,145
146132 - PH PARTO VAGINAL W/CC,140
131301 - PH HISTERECTOMIA VAGINAL Y OTROS PROCEDIMIENTOS POR VIA VAGINAL,139
114121 - MH INFECCIONES DE RIÑÓN Y TRACTO URINARIO,136
"044213 - MH OTROS SIGNOS, SÍNTOMAS Y DIAGNÓSTICOS DE APARATO RESPIRATORIO W/MCC",135
"094131 - MH TRAUMATISMO DE PIEL, TEJIDO SUBCUTÁNEO Y MAMA",134
041203 - PH PROCEDIMIENTOS NO COMPLEJOS SOBRE APARATO RESPIRATORIO W/MCC,130
071142 - PH COLECISTECTOMÍA LAPAROSCÓPICA W/CC,129
214121 - MH ENVENENAMIENTO Y EFECTO TÓXICO DE DROGAS,123
014241 - MH TRAUMATISMO CEFÁLICO,121
114123 - MH INFECCIONES DE RIÑÓN Y TRACTO URINARIO W/MCC,118
"091401 - PH OTRAS PROCEDIMIENTOS SOBRE PIEL, TEJIDO SUBCUTÁNEO Y MAMA",115
064181 - MH OTROS DIAGNÓSTICOS SOBRE APARATO DIGESTIVO,104
114122 - MH INFECCIONES DE RIÑÓN Y TRACTO URINARIO W/CC,103
"146123 - PH PARTO VAGINAL CON PROCED., EXCEPTO ESTERILIZACIÓN Y/O DILATACIÓN Y LEGRADO W/MCC",101
061202 - PH PROCEDIMIENTOS COMPLEJOS DEL TRACTO DIGESTIVO W/CC,100
044173 - MH ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA W/MCC,97
064172 - MH DOLOR ABDOMINAL Y OTRAS GASTROENTERITIS W/CC,89
134162 - MH TRASTORNOS DEL ANTEPARTO W/CC,89
014142 - MH ACCIDENTE CEREBROVASCULAR CON INFARTO W/CC,88
064183 - MH OTROS DIAGNÓSTICOS SOBRE APARATO DIGESTIVO W/MCC,85
064171 - MH DOLOR ABDOMINAL Y OTRAS GASTROENTERITIS,79
061203 - PH PROCEDIMIENTOS COMPLEJOS DEL TRACTO DIGESTIVO W/MCC,78
041013 - PH ECMO VENTILACIÓN MECÁNICA PROLONGADA CON TRAQUEOSTOMÍA W/MCC,76
064182 - MH OTROS DIAGNÓSTICOS SOBRE APARATO DIGESTIVO W/CC,73
091501 - PH PROCEDIMIENTOS SOBRE MAMA,72
054122 - MH INSUFICIENCIA CARDIACA W/CC,71
194101 - MH ESQUIZOFRENIA,68
"074133 - MH ENFERMEDADES HEPÁTICAS EXCEPTO NEOPLASIAS, CIRROSIS O HEPATITIS ALCOHÓLICA W/MCC",65
014141 - MH ACCIDENTE CEREBROVASCULAR CON INFARTO,64
014143 - MH ACCIDENTE CEREBROVASCULAR CON INFARTO W/MCC,64
054103 - MH INFARTO AGUDO DE MIOCARDIO W/MCC,63
214122 - MH ENVENENAMIENTO Y EFECTO TÓXICO DE DROGAS W/CC,63
131202 - PH PROCEDIMIENTOS SOBRE ÚTERO Y ANEXOS W/CC,63
146133 - PH PARTO VAGINAL W/MCC,63
074103 - MH HEPATITIS ALCOHÓLICA Y CIRROSIS W/MCC,63
111201 - PH OPERACIONES DEL TRACTO URINARIO SUPERIOR,62
"158131 - MH NEONATO, PESO AL NACER 2000-2499 GR SIN PROCEDIMIENTO MAYOR",61
"044211 - MH OTROS SIGNOS, SÍNTOMAS Y DIAGNÓSTICOS DE APARATO RESPIRATORIO",58
061121 - PH PROCEDIMIENTOS SOBRE HERNIA EXCEPTO INGUINAL Y FEMORAL,57
224121 - MH OTROS FACTORES QUE INFLUYEN EN EL ESTADO DE SALUD,57
074141 - MH OTRAS ENFERMEDADES DEL SISTEMA BILIAR,57
114102 - MH NEOPLASIA DE RIÑÓN Y TRACTO URINARIO E INSUFICIENCIA RENAL W/CC,56
071143 - PH COLECISTECTOMÍA LAPAROSCÓPICA W/MCC,55
044113 - MH FALLA RESPIRATORIA W/MCC,53
061132 - PH PROCEDIMIENTOS SOBRE APÉNDICE W/CC,52
114131 - MH LITIASIS RENAL,52
081301 - PH PROCEDIMIENTOS SOBRE PIE,51
044162 - MH NEUMONÍA SIMPLE Y TOS FERINA W/CC,51
054102 - MH INFARTO AGUDO DE MIOCARDIO W/CC,51
104101 - MH DIABETES Y ENFERMEDADES METABÓLICAS Y NUTRICIONALES,50
"064131 - MH DIVERTICULITIS, DIVERTICULOSIS Y ENFERMEDAD INFLAMATORIA INTESTINAL",50
044123 - MH EMBOLISMO PULMONAR W/MCC,49
184103 - MH SEPTICEMIA W/MCC,48
044152 - MH INFECCIONES E INFLAMACIONES RESPIRATORIAS W/CC,47
"131112 - PH PROCEDIMIENTOS SOBRE ÚTERO Y CUELLO, DILATACIÓN Y LEGRADO W/CC",46
054151 - MH OTRAS ENFERMEDADES VASCULARES Y PERIFÉRICAS,46
054101 - MH INFARTO AGUDO DE MIOCARDIO,46
061501 - PH PROCEDIMIENTOS SOBRE ANO,45
194131 - MH TRASTORNO BIPOLAR,45
104103 - MH DIABETES Y ENFERMEDADES METABÓLICAS Y NUTRICIONALES W/MCC,44
014221 - MH CONVULSIONES,44
044181 - MH BRONQUIOLITIS Y ASMA,44
"158132 - MH NEONATO, PESO AL NACER 2000-2499 GR SIN PROCEDIMIENTO MAYOR W/CC",44
134163 - MH TRASTORNOS DEL ANTEPARTO W/MCC,44
074142 - MH OTRAS ENFERMEDADES DEL SISTEMA BILIAR W/CC,43
134141 - MH AMENAZA DE ABORTO,42
104102 - MH DIABETES Y ENFERMEDADES METABÓLICAS Y NUTRICIONALES W/CC,42
054152 - MH OTRAS ENFERMEDADES VASCULARES Y PERIFÉRICAS W/CC,42
"091402 - PH OTRAS PROCEDIMIENTOS SOBRE PIEL, TEJIDO SUBCUTÁNEO Y MAMA W/CC",42
054192 - MH TRASTORNOS DE LA CONDUCCIÓN Y ARRITMIAS CARDIACAS W/CC,41
"044212 - MH OTROS SIGNOS, SÍNTOMAS Y DIAGNÓSTICOS DE APARATO RESPIRATORIO W/CC",41
114103 - MH NEOPLASIA DE RIÑÓN Y TRACTO URINARIO E INSUFICIENCIA RENAL W/MCC,40
061141 - PH PROCEDIMIENTOS SOBRE HERNIA INGUINAL Y FEMORAL,40
094121 - MH CELULITIS,40
074121 - MH ENFERMEDADES DE PÁNCREAS EXCEPTO NEOPLASIAS,40
