,precision,recall,f1-score,support
146133 - PH PARTO VAGINAL W/MCC,1.0,1.0,1.0,7.0
"131111 - PH PROCEDIMIENTOS SOBRE ÚTERO Y CUELLO, DILATACIÓN Y LEGRADO",0.8461538461538461,1.0,0.9166666666666666,22.0
044153 - MH INFECCIONES E INFLAMACIONES RESPIRATORIAS W/MCC,0.9259259259259259,0.8928571428571429,0.9090909090909091,28.0
134141 - MH AMENAZA DE ABORTO,0.8,1.0,0.8888888888888888,4.0
014221 - MH CONVULSIONES,1.0,0.8,0.8888888888888888,5.0
014241 - MH TRAUMATISMO CEFÁLICO,0.8461538461538461,0.9166666666666666,0.88,12.0
061501 - PH PROCEDIMIENTOS SOBRE ANO,1.0,0.75,0.8571428571428571,4.0
146131 - PH PARTO VAGINAL,0.78125,0.9259259259259259,0.847457627118644,54.0
"044211 - MH OTROS SIGNOS, SÍNTOMAS Y DIAGNÓSTICOS DE APARATO RESPIRATORIO",0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
146101 - PH CESÁREA,0.7684210526315789,0.9012345679012346,0.8295454545454546,81.0
214121 - MH ENVENENAMIENTO Y EFECTO TÓXICO DE DROGAS,0.7058823529411765,1.0,0.8275862068965517,12.0
134161 - MH TRASTORNOS DEL ANTEPARTO,0.7631578947368421,0.8787878787878788,0.8169014084507042,33.0
061131 - PH PROCEDIMIENTOS SOBRE APÉNDICE,0.7586206896551724,0.88,0.8148148148148148,25.0
"146121 - PH PARTO VAGINAL CON PROCED., EXCEPTO ESTERILIZACIÓN Y/O DILATACIÓN Y LEGRADO",0.7567567567567568,0.875,0.8115942028985508,64.0
061141 - PH PROCEDIMIENTOS SOBRE HERNIA INGUINAL Y FEMORAL,0.6666666666666666,1.0,0.8,4.0
"158171 - MH NEONATO, PESO AL NACER >2499 GR SIN PROCEDIMIENTO MAYOR",0.723404255319149,0.8717948717948718,0.7906976744186046,39.0
054123 - MH INSUFICIENCIA CARDIACA W/MCC,0.6551724137931034,0.95,0.7755102040816326,20.0
044183 - MH BRONQUIOLITIS Y ASMA W/MCC,0.7333333333333333,0.7857142857142857,0.7586206896551724,14.0
071141 - PH COLECISTECTOMÍA LAPAROSCÓPICA,0.6666666666666666,0.875,0.7567567567567568,32.0
