,Otros diagnósticos,PH CESÁREA,"PH PARTO VAGINAL CON PROCED., EXCEPTO ESTERILIZACIÓN Y/O DILATACIÓN Y LEGRADO",PH PARTO VAGINAL,"MH NEONATO, PESO AL NACER >2499 GR SIN PROCEDIMIENTO MAYOR",MH TRASTORNOS DEL ANTEPARTO,PH COLECISTECTOMÍA LAPAROSCÓPICA,MH INFECCIONES E INFLAMACIONES RESPIRATORIAS W/MCC,PH VENTILACIÓN MECÁNICA PROLONGADA SIN TRAQUEOSTOMÍA W/MCC,PH PROCEDIMIENTOS SOBRE APÉNDICE,PH CESÁREA W/CC,MH NEUMONÍA SIMPLE Y TOS FERINA W/MCC,"PH PROCEDIMIENTOS SOBRE ÚTERO Y CUELLO, DILATACIÓN Y LEGRADO",PH PROCEDIMIENTOS SOBRE ÚTERO Y ANEXOS,MH INSUFICIENCIA CARDIACA W/MCC,"PH PARTO VAGINAL CON PROCED., EXCEPTO ESTERILIZACIÓN Y/O DILATACIÓN Y LEGRADO W/CC",PH CESÁREA W/MCC,PH PROCEDIMIENTOS COMPLEJOS DEL TRACTO DIGESTIVO,PH HISTERECTOMIA VAGINAL Y OTROS PROCEDIMIENTOS POR VIA VAGINAL,MH INFECCIONES DE RIÑÓN Y TRACTO URINARIO
Otros diagnósticos,0.6078431372549019,0.0,0.0,0.006535947712418301,0.0915032679738562,0.006535947712418301,0.013071895424836602,0.0032679738562091504,0.049019607843137254,0.026143790849673203,0.0,0.0196078431372549,0.032679738562091505,0.03594771241830065,0.0392156862745098,0.0,0.0,0.029411764705882353,0.0196078431372549,0.0196078431372549
PH CESÁREA,0.0,0.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0375,0.0,0.0,0.0
"PH PARTO VAGINAL CON PROCED., EXCEPTO ESTERILIZACIÓN Y/O DILATACIÓN Y LEGRADO",0.0,0.0,0.5238095238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47619047619047616,0.0,0.0,0.0,0.0
PH PARTO VAGINAL,0.0,0.0,0.0,0.9545454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0
"MH NEONATO, PESO AL NACER >2499 GR SIN PROCEDIMIENTO MAYOR",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MH TRASTORNOS DEL ANTEPARTO,0.043478260869565216,0.043478260869565216,0.0,0.0,0.0,0.9130434782608695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PH COLECISTECTOMÍA LAPAROSCÓPICA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MH INFECCIONES E INFLAMACIONES RESPIRATORIAS W/MCC,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.8461538461538461,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PH VENTILACIÓN MECÁNICA PROLONGADA SIN TRAQUEOSTOMÍA W/MCC,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.5714285714285714,0.07142857142857142,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.07142857142857142,0.0,0.0
PH PROCEDIMIENTOS SOBRE APÉNDICE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
