,Otros diagnósticos,PH CESÁREA,"PH PARTO VAGINAL CON PROCED., EXCEPTO ESTERILIZACIÓN Y/O DILATACIÓN Y LEGRADO",PH PARTO VAGINAL,"MH NEONATO, PESO AL NACER >2499 GR SIN PROCEDIMIENTO MAYOR",MH TRASTORNOS DEL ANTEPARTO,PH COLECISTECTOMÍA LAPAROSCÓPICA,MH INFECCIONES E INFLAMACIONES RESPIRATORIAS W/MCC,PH VENTILACIÓN MECÁNICA PROLONGADA SIN TRAQUEOSTOMÍA W/MCC,PH PROCEDIMIENTOS SOBRE APÉNDICE,PH CESÁREA W/CC,MH NEUMONÍA SIMPLE Y TOS FERINA W/MCC,"PH PROCEDIMIENTOS SOBRE ÚTERO Y CUELLO, DILATACIÓN Y LEGRADO",PH PROCEDIMIENTOS SOBRE ÚTERO Y ANEXOS,MH INSUFICIENCIA CARDIACA W/MCC,"PH PARTO VAGINAL CON PROCED., EXCEPTO ESTERILIZACIÓN Y/O DILATACIÓN Y LEGRADO W/CC",PH CESÁREA W/MCC,PH PROCEDIMIENTOS COMPLEJOS DEL TRACTO DIGESTIVO,PH HISTERECTOMIA VAGINAL Y OTROS PROCEDIMIENTOS POR VIA VAGINAL,MH INFECCIONES DE RIÑÓN Y TRACTO URINARIO
Otros diagnósticos,0.5041322314049587,0.0,0.0,0.008264462809917356,0.1046831955922865,0.013774104683195593,0.024793388429752067,0.011019283746556474,0.013774104683195593,0.027548209366391185,0.0,0.01652892561983471,0.024793388429752067,0.05234159779614325,0.13774104683195593,0.0,0.0,0.01928374655647383,0.011019283746556474,0.030303030303030304
PH CESÁREA,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4875,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0
"PH PARTO VAGINAL CON PROCED., EXCEPTO ESTERILIZACIÓN Y/O DILATACIÓN Y LEGRADO",0.0,0.0,0.5614035087719298,0.03508771929824561,0.0,0.017543859649122806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38596491228070173,0.0,0.0,0.0,0.0
PH PARTO VAGINAL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MH NEONATO, PESO AL NACER >2499 GR SIN PROCEDIMIENTO MAYOR",0.02564102564102564,0.0,0.0,0.0,0.9743589743589743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MH TRASTORNOS DEL ANTEPARTO,0.0,0.0,0.0,0.0,0.0,0.9615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0
PH COLECISTECTOMÍA LAPAROSCÓPICA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MH INFECCIONES E INFLAMACIONES RESPIRATORIAS W/MCC,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.8076923076923077,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0
PH VENTILACIÓN MECÁNICA PROLONGADA SIN TRAQUEOSTOMÍA W/MCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.8421052631578947,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842,0.0,0.0
PH PROCEDIMIENTOS SOBRE APÉNDICE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
